county,state,year,number_of_crimes,geometry,crime_ranking
Sutter,CA,2002,8,POINT (-121.752748 39.1598915),0.996647509578544
Sutter,CA,2003,3,POINT (-121.752748 39.1598915),0.9990421455938696
Dorchester,MD,2006,1,POINT (-76.6864432 39.3321017),1.0
Peach,GA,2007,2,POINT (-83.8760194 32.5523697),0.9995210727969348
Tuolumne,CA,2008,1,POINT (-120.236629 37.9614011),1.0
Pierce,WA,2009,38,POINT (-119.4521747 46.6343532),0.98227969348659
Cabarrus,NC,2010,7,POINT (-80.5417335 35.2370876),0.9971264367816092
Cass,IN,2011,4,POINT (-87.2786267 39.0869874),0.9985632183908046
Humphreys,MS,2011,1,POINT (-90.8409367 32.0804323),1.0
Forsyth,NC,2011,18,POINT (-80.3134854 36.1698499),0.9918582375478928
Virginia Beach,VA,2011,15,POINT (-75.9760751 36.8496579),0.9932950191570882
Huntingdon,PA,2012,1,POINT (-78.0102813 40.4847959),1.0
Tom Green,TX,2014,6,POINT (-97.7337686 30.2943657),0.9976053639846744
Chittenden,VT,1995,2,POINT (-72.9476604 43.707734),0.9995210727969348
Shasta,CA,1996,9,POINT (-122.4919571 40.5993165),0.9961685823754788
Catoosa,GA,1996,1,POINT (-85.0555103 34.913942),1.0
Livingston,KY,1996,2,POINT (-84.2149339 37.2978634),0.9995210727969348
Rensselaer,NY,1996,2,POINT (-73.742898 42.6425795),0.9995210727969348
Radford,VA,1996,1,POINT (-80.5749169 37.1343148),1.0
Geneva,AL,1997,1,POINT (-85.8764248 31.0411132),1.0
Little River,AR,1997,2,POINT (-90.1003701 35.8075752),0.9995210727969348
Merced,CA,1997,17,POINT (-120.4843269 37.3029568),0.992337164750958
Adair,KY,1997,1,POINT (-86.8266569 37.9506102),1.0
Kenton,KY,1997,6,POINT (-84.4560507 38.8683985),0.9976053639846744
Baltimore city,MD,1997,318,POINT (-76.6272228 39.3196465),0.8481800766283525
Genesee,MI,1997,30,POINT (-84.5643933 42.7378368),0.9861111111111112
Hillsdale,MI,1997,1,POINT (-84.6305101 41.9200472),1.0
Tuscola,MI,1997,2,POINT (-83.65691 43.3264983),0.9995210727969348
Cherokee,OK,1997,2,POINT (-98.3567403 36.7544746),0.9995210727969348
Fort Bend,TX,1997,5,POINT (-95.4920054 29.5983495),0.9980842911877394
Santa Cruz,CA,1998,10,POINT (-122.0294673 36.9743626),0.9956896551724138
