county,state,year,number_of_crimes,geometry,crime_ranking
Escambia,AL,1980,2,POINT (-87.3636916 31.0721361),0.9995210727969348
Faulkner,AR,1980,2,POINT (-94.0863113 34.3403867),0.9995210727969348
Boone,KY,1980,2,POINT (-84.316601 37.5175837),0.9995210727969348
St. Bernard,LA,1980,1,POINT (-89.858676 29.8671501),1.0
San Juan,NM,1980,5,POINT (-108.5288693 36.7348233),0.9980842911877394
Wyoming,PA,1980,1,POINT (-75.8374174 41.3117471),1.0
Brazos,TX,1980,9,POINT (-98.1219883 32.6615198),0.9961685823754788
Kendall,TX,1980,2,POINT (-97.1116957 33.0879517),0.9995210727969348
Lubbock,TX,1980,41,POINT (-101.8470215 33.5855677),0.9808429118773946
Frederick,MD,1981,4,POINT (-77.4127562 39.415779),0.9985632183908046
Richland,OH,1981,10,POINT (-82.5973848 39.1870147),0.9956896551724138
Waukesha,WI,1981,2,POINT (-88.2314813 43.0116784),0.9995210727969348
Washakie,WY,1981,1,POINT (-108.8811789 43.0039242),1.0
Conejos,CO,1982,1,POINT (-106.0202541 37.0887903),1.0
Peoria,IL,1982,10,POINT (-89.5891008 40.6938609),0.9956896551724138
Lee,KY,1982,1,POINT (-86.4994264 37.295882),1.0
Monroe,KY,1982,2,POINT (-85.697747 37.2322786),0.9995210727969348
Laurens,SC,1982,6,POINT (-82.0156362 34.4989248),0.9976053639846744
Pennington,SD,1982,8,POINT (-103.1944283 44.0503329),0.996647509578544
Waller,TX,1982,3,POINT (-95.9250516 30.0640003),0.9990421455938696
Carbon,WY,1982,1,POINT (-106.3769657 41.8485752),1.0
Morgan,CO,1983,1,POINT (-106.0200249 37.3277847),1.0
Ingham,MI,1983,3,POINT (-84.3116086 42.5760964),0.9990421455938696
Fayette,PA,1983,7,POINT (-79.918944 39.8222992),0.9971264367816092
Collin,TX,1983,10,POINT (-96.8163888 33.1987288),0.9956896551724138
Douglas,WI,1983,3,POINT (-89.5514803 43.7008885),0.9990421455938696
Mingo,WV,1983,5,POINT (-80.0542344 38.4987251),0.9980842911877394
Putnam,WV,1983,1,POINT (-81.9285782 38.4563185),1.0
Randolph,WV,1983,1,POINT (-82.1219829 38.8376183),1.0
Lowndes,GA,1984,4,POINT (-83.2681036 30.807456),0.9985632183908046
Champaign,IL,1984,5,POINT (-88.2430932 40.1164841),0.9980842911877394
York,ME,1984,4,POINT (-70.6505274 43.1439384),0.9985632183908046
Beaufort,NC,1984,9,POINT (-76.6591587 34.7180601),0.9961685823754788
Clark,OH,1984,4,POINT (-81.9023614 40.4489547),0.9985632183908046
Crawford,PA,1984,3,POINT (-77.2567094 41.1154654),0.9990421455938696
Pennington,SD,1984,4,POINT (-103.1944283 44.0503329),0.9985632183908046
Calhoun,WV,1984,2,POINT (-79.9856332 39.0912114),0.9995210727969348
Monterey,CA,1985,27,POINT (-121.8946388 36.600256),0.9875478927203064
Crow Wing,MN,1985,1,POINT (-94.2924998 46.2799671),1.0
Simpson,MS,1985,1,POINT (-89.337007 31.8423803),1.0
Aiken,SC,1985,11,POINT (-81.7224579 33.5616173),0.9952107279693486
Douglas,WA,1985,2,POINT (-120.0047852 47.6212432),0.9995210727969348
Skagit,WA,1985,3,POINT (-122.3629364 48.383437),0.9990421455938696
San Joaquin,CA,1986,65,POINT (-120.1890447 36.6066162),0.9693486590038314
Paulding,GA,1986,3,POINT (-84.8221608 33.8114948),0.9990421455938696
Olmsted,MN,1986,1,POINT (-92.5957207 43.9807626),1.0
Sauk,WI,1986,3,POINT (-89.7226827 43.2715944),0.9990421455938696
Allegany,MD,1987,2,POINT (-78.8280761 39.6400877),0.9995210727969348
Montcalm,MI,1987,2,POINT (-85.2521977 43.271685),0.9995210727969348
Clermont,OH,1987,4,POINT (-84.1968655 39.0327039),0.9985632183908046
Okmulgee,OK,1987,2,POINT (-95.9719711 35.6230879),0.9995210727969348
Jefferson,GA,1988,2,POINT (-83.5723876 34.1170537),0.9995210727969348
Liberty,GA,1988,4,POINT (-83.1370993 33.421523),0.9985632183908046
Berkeley,WV,1988,2,POINT (-77.9272196 39.5031537),0.9995210727969348
Adair,KY,1989,3,POINT (-86.8266569 37.9506102),0.9990421455938696
Ozark,MO,1989,2,POINT (-93.2052833 37.0207065),0.9995210727969348
Genesee,NY,1989,5,POINT (-78.2481994 42.0470457),0.9980842911877394
Seminole,OK,1989,1,POINT (-96.6762229 35.2300087),1.0
Tulsa,OK,1989,50,POINT (-95.9927516 36.1563122),0.9765325670498084
York,VA,1989,4,POINT (-82.1254221 38.905913),0.9985632183908046
Calhoun,AL,1990,12,POINT (-86.5449739 32.0501467),0.9947318007662836
Yolo,CA,1990,12,POINT (-121.8077431 38.7318481),0.9947318007662836
Winnebago,IL,1990,19,POINT (-89.2412202 42.2661312),0.9913793103448276
Iberville,LA,1990,1,POINT (-91.1167713 30.2960276),1.0
Merrimack,NH,1990,1,POINT (-71.4934004 42.8650864),1.0
Lincoln,OK,1990,2,POINT (-99.7603725 34.4939594),0.9995210727969348
Anderson,SC,1990,12,POINT (-82.6506264 34.5068601),0.9947318007662836
Prince William,VA,1990,11,POINT (-77.3007735 38.638942),0.9952107279693486
Scott,AR,1991,1,POINT (-92.0879316 34.698008),1.0
Van Buren,AR,1991,2,POINT (-94.3431393 35.4424419),0.9995210727969348
Allegany,MD,1991,2,POINT (-78.8280761 39.6400877),0.9995210727969348
Erie,NY,1991,34,POINT (-79.066983 42.6242257),0.9841954022988506
Anderson,TN,1991,1,POINT (-86.1797114 35.3775787),1.0
Faulkner,AR,1992,3,POINT (-94.0863113 34.3403867),0.9990421455938696
Napa,CA,1992,6,POINT (-122.2855293 38.2971367),0.9976053639846744
Indian River,FL,1992,3,POINT (-80.5023298 27.5998271),0.9990421455938696
Cass,MN,1992,2,POINT (-94.60415 47.379398),0.9995210727969348
Orange,VA,1992,1,POINT (-78.1108342 38.2454106),1.0
Trempealeau,WI,1992,1,POINT (-91.4414775 44.0057631),1.0
Raleigh,WV,1992,2,POINT (-81.1742659 37.7567819),0.9995210727969348
Cleveland,NC,1993,19,POINT (-80.6770111 35.7331953),0.9913793103448276
Livingston,NY,1993,1,POINT (-73.777905 42.1420336),1.0
Monroe,NY,1993,70,POINT (-74.1866348 41.3304767),0.9669540229885056
Angelina,TX,1993,7,POINT (-94.7069743 31.3658498),0.9971264367816092
Jefferson,TX,1993,37,POINT (-94.3451926 32.7573626),0.9827586206896552
Wood,WV,1993,3,POINT (-81.9154142 38.7714727),0.9990421455938696
Carroll,AR,1994,2,POINT (-93.5844917 36.3798693),0.9995210727969348
Macon,GA,1994,1,POINT (-83.6324022 32.8406946),1.0
Macon,IL,1994,12,POINT (-88.9970218 39.7128155),0.9947318007662836
Butler,PA,1994,2,POINT (-79.895197 40.86108),0.9995210727969348
Kleberg,TX,1994,1,POINT (-96.6158262 32.6715211),1.0
Mathews,VA,1994,1,POINT (-76.32107 37.4337395),1.0
Santa Barbara,CA,1995,11,POINT (-119.702667 34.4221319),0.9952107279693486
Jackson,KY,1995,2,POINT (-83.3822604 37.5534741),0.9995210727969348
Berkeley,WV,1984,3,POINT (-77.9272196 39.5031537),0.9990421455938696
Pueblo,CO,1985,7,POINT (-104.6141867 38.263995),0.9971264367816092
Broward,FL,1985,132,POINT (-80.1112059 26.2983934),0.9372605363984674
Alcorn,MS,1985,2,POINT (-91.1392755 31.8779382),0.9995210727969348
Boone,MO,1986,4,POINT (-94.593209 38.9629901),0.9985632183908046
Union,SC,1986,2,POINT (-81.6237462 34.7151939),0.9995210727969348
Lapeer,MI,1988,3,POINT (-83.3188341 43.0514161),0.9990421455938696
Crawford,OH,1988,1,POINT (-83.3421447 40.9197777),1.0
Palo Pinto,TX,1989,2,POINT (-98.2993631 32.7668959),0.9995210727969348
Orange,CA,1992,183,POINT (-117.850308 33.7872568),0.9128352490421456
Wayne,NY,1992,1,POINT (-77.1055262 42.4709046),1.0
Penobscot,ME,1995,2,POINT (-68.7111393 44.4645203),0.9995210727969348
Stanislaus,CA,1980,31,POINT (-120.3701959 38.1382537),0.985632183908046
Mahnomen,MN,1980,1,POINT (-95.9689651 47.3151116),1.0
Cherokee,OK,1980,2,POINT (-98.3567403 36.7544746),0.9995210727969348
Berkeley,SC,1980,14,POINT (-81.8849455 34.9894187),0.9937739463601531
Spartanburg,SC,1980,36,POINT (-81.9320157 34.9498007),0.9832375478927204
Hidalgo,TX,1980,27,POINT (-98.2577597 26.1019892),0.9875478927203064
Live Oak,TX,1980,3,POINT (-98.3334411 29.5628983),0.9990421455938696
Charlottesville,VA,1980,5,POINT (-78.4766781 38.029306),0.9980842911877394
Green Lake,WI,1980,1,POINT (-88.9601133 43.8441481),1.0
Crawford,AR,1981,8,POINT (-92.9104487 36.1767389),0.996647509578544
Madison,FL,1981,1,POINT (-83.4129254 30.4693772),1.0
Bibb,GA,1981,22,POINT (-84.9918764 32.4956975),0.9899425287356322
Dorchester,MD,1981,3,POINT (-76.6864432 39.3321017),0.9990421455938696
Hillsdale,MI,1981,3,POINT (-84.6305101 41.9200472),0.9990421455938696
Hancock,MS,1981,7,POINT (-88.8089424 33.4567886),0.9971264367816092
Edgefield,SC,1981,3,POINT (-81.9295582 33.7895774),0.9990421455938696
Meigs,TN,1981,1,POINT (-84.710218 35.6872945),1.0
Blanco,TX,1981,1,POINT (-98.4220602 30.1007035),1.0
Terrell,TX,1981,1,POINT (-96.2752569 32.7359626),1.0
Nome,AK,1982,1,POINT (-165.4061701 64.4975098),1.0
Shelby,IN,1982,2,POINT (-87.34783 41.1952458),0.9995210727969348
Tippecanoe,IN,1982,5,POINT (-86.114999 41.2089325),0.9980842911877394
Sherburne,MN,1982,1,POINT (-93.5763889 45.5438889),1.0
Jasper,MO,1982,3,POINT (-94.301336 37.3361642),0.9990421455938696
Hinds,MS,1982,62,POINT (-90.2208923 32.3790871),0.9707854406130269
Davie,NC,1982,1,POINT (-79.036742 35.9187235),1.0
Marion,OR,1982,7,POINT (-122.942314 44.7490108),0.9971264367816092
Montgomery,TN,1982,5,POINT (-84.3707674 36.3259125),0.9980842911877394
Cabell,WV,1982,2,POINT (-81.2314908 37.788725),0.9995210727969348
Douglas,GA,1983,1,POINT (-82.8498654 31.5088073),1.0
Floyd,KY,1983,8,POINT (-84.6524445 37.2509114),0.996647509578544
Jackson,MS,1983,1,POINT (-90.1830408 32.2998686),1.0
Hillsborough,NH,1983,9,POINT (-71.8948666 43.1149568),0.9961685823754788
Sullivan,NH,1983,1,POINT (-72.2213782 43.0125418),1.0
Phillips,AR,1984,4,POINT (-90.5842757 35.816464),0.9985632183908046
Jackson,MO,1984,100,POINT (-89.6684487 37.3828316),0.9525862068965516
Keith,NE,1984,1,POINT (-100.5640286 41.0905573),1.0
Duplin,NC,1984,6,POINT (-77.980414 34.9609444),0.9976053639846744
Gloucester,NJ,1984,5,POINT (-75.1161897 39.8918622),0.9980842911877394
Rockland,NY,1984,7,POINT (-74.9129403 41.9453663),0.9971264367816092
Grant,OR,1984,1,POINT (-123.0281746 44.9522485),1.0
Colleton,SC,1984,5,POINT (-80.882323 33.0398845),0.9980842911877394
Freestone,TX,1984,3,POINT (-96.2480265 31.5423947),0.9990421455938696
Galveston,TX,1984,23,POINT (-94.7933252 29.3056996),0.9894636015325672
Skagit,WA,1984,4,POINT (-122.3629364 48.383437),0.9985632183908046
Kern,CA,1985,66,POINT (-118.9826001 35.3821806),0.9688697318007664
Wayne,MI,1985,751,POINT (-83.3863215 42.2814269),0.6408045977011494
Guilford,NC,1985,25,POINT (-79.8980907 36.0768027),0.9885057471264368
Blair,PA,1985,5,POINT (-78.4098838 40.397868),0.9980842911877394
Aroostook,ME,1986,2,POINT (-68.0038524 46.6985211),0.9995210727969348
Curry,NM,1986,2,POINT (-106.7813172 32.3271493),0.9995210727969348
Chautauqua,NY,1986,2,POINT (-79.4663814 42.209633),0.9995210727969348
Weber,UT,1986,4,POINT (-111.943354 41.1344398),0.9985632183908046
Kern,CA,1987,66,POINT (-118.9826001 35.3821806),0.9688697318007664
McIntosh,GA,1987,1,POINT (-81.5235273 31.8257693),1.0
Cumberland,ME,1987,6,POINT (-70.2581692 43.7966548),0.9976053639846744
Becker,MN,1987,1,POINT (-93.8768904 45.3931821),1.0
Georgetown,SC,1987,2,POINT (-79.2944965 33.376834),0.9995210727969348
Henderson,TN,1987,2,POINT (-88.6414411 35.4392435),0.9995210727969348
Isabella,MI,1988,2,POINT (-86.6056996 45.8974718),0.9995210727969348
Berkeley,SC,1988,9,POINT (-81.8849455 34.9894187),0.9961685823754788
Buckingham,VA,1988,1,POINT (-78.5555608 37.5501459),1.0
Louisa,VA,1988,1,POINT (-78.0035745 38.0250438),1.0
Roanoke,VA,1988,20,POINT (-79.9414313 37.270973),0.9909003831417624
Yakima,WA,1988,24,POINT (-120.510842 46.601557),0.988984674329502
Jefferson,KS,1989,1,POINT (-95.7613684 37.1122964),1.0
Douglas,WA,1989,3,POINT (-120.0047852 47.6212432),0.9990421455938696
Marion,AL,1990,1,POINT (-87.3191655 32.6323536),1.0
Crowley,CO,1990,1,POINT (-103.8560646 38.1930607),1.0
Caroline,VA,1990,2,POINT (-77.5142047 37.9869876),0.9995210727969348
Polk,WI,1990,1,POINT (-88.2107921 43.3251532),1.0
Ford,KS,1991,2,POINT (-99.754016 37.6361315),0.9995210727969348
Yellowstone,MT,1991,4,POINT (-111.1012064 44.6632056),0.9985632183908046
Sampson,NC,1991,5,POINT (-78.3510772 34.9895739),0.9980842911877394
Stokes,NC,1991,2,POINT (-77.2646852 35.7165488),0.9995210727969348
Wichita,TX,1991,18,POINT (-98.5020777 33.9004572),0.9918582375478928
Martin,KY,1992,2,POINT (-82.752659 37.5728764),0.9995210727969348
Haywood,NC,1992,1,POINT (-79.0639047 35.6201515),1.0
Chelan,WA,1992,7,POINT (-120.0164591 47.8409698),0.9971264367816092
Skamania,WA,1993,1,POINT (-122.041751 45.6173396),1.0
Franklin,GA,1994,2,POINT (-85.0979973 33.2776182),0.9995210727969348
Washington,ME,1994,1,POINT (-69.3672657 44.2736859),1.0
Grafton,NH,1994,2,POINT (-71.946716 43.562979),0.9995210727969348
Cherokee,OK,1994,2,POINT (-98.3567403 36.7544746),0.9995210727969348
Brazos,TX,1994,13,POINT (-98.1219883 32.6615198),0.9942528735632185
Hopkins,TX,1994,2,POINT (-95.6182897 33.2706673),0.9995210727969348
Nicholas,WV,1994,2,POINT (-80.9855884 38.1784065),0.9995210727969348
Toombs,GA,1995,11,POINT (-82.3475861 32.0480485),0.9952107279693486
Henderson,KY,1995,3,POINT (-87.5907631 37.8367513),0.9990421455938696
Bernalillo,NM,1995,59,POINT (-106.551425 35.3009305),0.9722222222222222
Berkeley,WV,1982,1,POINT (-77.9272196 39.5031537),1.0
Muskegon,MI,1983,11,POINT (-86.2483921 43.2341813),0.9952107279693486
Sutter,CA,1985,5,POINT (-121.752748 39.1598915),0.9980842911877394
Waynesboro,VA,1987,3,POINT (-78.8893999 38.0686668),0.9990421455938696
Beauregard,LA,1988,2,POINT (-92.6191451 32.5520769),0.9995210727969348
Otoe,NE,1989,1,POINT (-96.116952 40.723614),1.0
Walla Walla,WA,1989,1,POINT (-118.339345 46.0667277),1.0
Maverick,TX,1991,1,POINT (-100.1950909 31.8334814),1.0
Volusia,FL,1992,29,POINT (-81.5209046 29.168591),0.9865900383141762
Larimer,CO,1995,6,POINT (-104.9754049 39.7666644),0.9976053639846744
Limestone,AL,1980,4,POINT (-86.8327797 34.7809229),0.9985632183908046
Henry,IN,1980,4,POINT (-85.587475 39.7858778),0.9985632183908046
Floyd,KY,1980,1,POINT (-84.6524445 37.2509114),1.0
Dorchester,MD,1980,6,POINT (-76.6864432 39.3321017),0.9976053639846744
Camden,MO,1980,4,POINT (-94.0230001 39.1972316),0.9985632183908046
Lincoln,NE,1980,1,POINT (-96.7077751 40.8088861),1.0
Grafton,NH,1980,1,POINT (-71.946716 43.562979),1.0
Oneida,NY,1980,6,POINT (-75.6508149 43.0943244),0.9976053639846744
Williamsburg,SC,1980,8,POINT (-80.4202061 33.9683795),0.996647509578544
Orleans,VT,1980,1,POINT (-72.2022384 44.8113611),1.0
White,AR,1981,3,POINT (-91.9956868 33.0140144),0.9990421455938696
Jackson,IL,1981,6,POINT (-87.6503028 38.7211581),0.9976053639846744
Neosho,KS,1981,1,POINT (-95.9919352 38.3694601),1.0
Cole,MO,1981,3,POINT (-93.2027036 38.4600212),0.9990421455938696
Trumbull,OH,1981,12,POINT (-80.9539818 41.6781106),0.9947318007662836
Dallas,AL,1982,10,POINT (-86.576659 34.7439798),0.9956896551724138
Tuolumne,CA,1982,2,POINT (-120.236629 37.9614011),0.9995210727969348
Anne Arundel,MD,1982,23,POINT (-76.4739519 39.0311487),0.9894636015325672
Perry,MS,1982,1,POINT (-89.1414364 30.7207466),1.0
Alamance,NC,1982,11,POINT (-79.4858549 36.0351361),0.9952107279693486
Cambria,PA,1982,5,POINT (-78.7790754 40.6575819),0.9980842911877394
Lancaster,SC,1982,7,POINT (-80.7709015 34.7204257),0.9971264367816092
Mathews,VA,1982,1,POINT (-76.32107 37.4337395),1.0
Clark,WA,1982,9,POINT (-118.6894206 47.9249627),0.9961685823754788
Kern,CA,1984,43,POINT (-118.9826001 35.3821806),0.9798850574712644
Riverside,CA,1984,100,POINT (-117.374238 33.9824949),0.9525862068965516
Wakulla,FL,1984,2,POINT (-84.2310065 30.2368696),0.9995210727969348
Jerome,ID,1984,2,POINT (-114.518808 42.7238458),0.9995210727969348
Linn,OR,1984,7,POINT (-122.612314 45.3656761),0.9971264367816092
Beaver,PA,1984,1,POINT (-80.3047887 40.6953896),1.0
Jefferson,TX,1984,36,POINT (-94.3451926 32.7573626),0.9832375478927204
Desha,AR,1985,3,POINT (-91.6798619 35.7361886),0.9990421455938696
Orange,CA,1985,126,POINT (-117.850308 33.7872568),0.9401340996168582
Marlboro,SC,1985,8,POINT (-79.7325614 34.5368242),0.996647509578544
Stanislaus,CA,1986,23,POINT (-120.3701959 38.1382537),0.9894636015325672
Elkhart,IN,1986,7,POINT (-85.9766671 41.6819935),0.9971264367816092
Susquehanna,PA,1986,1,POINT (-75.6041902 41.9439867),1.0
Wythe,VA,1986,2,POINT (-76.3777868 37.0032372),0.9995210727969348
Clark,WA,1986,6,POINT (-118.6894206 47.9249627),0.9976053639846744
Wayne,WV,1986,2,POINT (-82.4423747 38.2214748),0.9995210727969348
Marion,AL,1987,1,POINT (-87.3191655 32.6323536),1.0
Amador,CA,1987,4,POINT (-120.824103 38.4193553),0.9985632183908046
Evans,GA,1987,1,POINT (-82.1305889 33.5338001),1.0
Wyandotte,KS,1987,30,POINT (-94.661112 39.0531539),0.9861111111111112
Dakota,MN,1987,2,POINT (-91.3598478 43.9138856),0.9995210727969348
Newton,MS,1987,1,POINT (-89.1633929 32.3212554),1.0
Catawba,NC,1987,10,POINT (-81.0756345 35.7073558),0.9956896551724138
San Miguel,NM,1987,2,POINT (-106.734999 32.1553751),0.9995210727969348
Madison,OH,1987,1,POINT (-81.0498131 41.7712388),1.0
Albemarle,VA,1987,3,POINT (-76.2372684 36.7177596),0.9990421455938696
Sumter,AL,1989,2,POINT (-87.1277738 33.353446),0.9995210727969348
Chatham,NC,1989,3,POINT (-80.7609721 35.3465823),0.9990421455938696
Kanawha,WV,1989,24,POINT (-81.4601209 39.1989653),0.988984674329502
Lorain,OH,1990,10,POINT (-82.1781904 41.4673238),0.9956896551724138
Summit,UT,1990,4,POINT (-112.9363332 37.8011751),0.9985632183908046
Kewaunee,WI,1990,1,POINT (-87.5031519 44.4584016),1.0
Kankakee,IL,1991,11,POINT (-87.8611531 41.1200325),0.9952107279693486
St. Francois,MO,1991,2,POINT (-90.518736 37.8564402),0.9995210727969348
Philadelphia,PA,1991,461,POINT (-75.1635262 39.9527237),0.7796934865900383
Robertson,TX,1991,3,POINT (-101.5137702 33.5642542),0.9990421455938696
Travis,TX,1991,59,POINT (-97.0027678 31.1354588),0.9722222222222222
Miller,AR,1992,4,POINT (-94.2643747 36.4164649),0.9985632183908046
Sacramento,CA,1992,105,POINT (-121.493895 38.5810606),0.950191570881226
Newton,GA,1992,8,POINT (-84.3357424 31.3129575),0.996647509578544
Clay,KY,1992,4,POINT (-87.8200159 37.4767119),0.9985632183908046
Franklin,MA,1992,2,POINT (-71.3971167 42.0825801),0.9995210727969348
Livingston,MI,1992,3,POINT (-86.5427363 41.9681416),0.9990421455938696
Starr,TX,1992,11,POINT (-98.1922329 26.1622972),0.9952107279693486
Travis,TX,1992,42,POINT (-97.0027678 31.1354588),0.9803639846743296
Latah,ID,1993,1,POINT (-116.2291227 43.6036744),1.0
Camden,NC,1993,1,POINT (-76.1718764 36.3284897),1.0
Delaware,PA,1993,41,POINT (-74.9093368 41.1609285),0.9808429118773946
Freestone,TX,1993,2,POINT (-96.2480265 31.5423947),0.9995210727969348
Waller,TX,1993,3,POINT (-95.9250516 30.0640003),0.9990421455938696
Denver,CO,1994,88,POINT (-104.984862 39.7392364),0.9583333333333334
Madison,IL,1994,18,POINT (-90.1570536 38.6825502),0.9918582375478928
Trumbull,OH,1994,3,POINT (-80.9539818 41.6781106),0.9990421455938696
Breckinridge,KY,1995,1,POINT (-84.378549 38.4414625),1.0
Ramsey,MN,1995,26,POINT (-93.4605008 45.2320595),0.9880268199233716
Madison,NE,1995,2,POINT (-97.4551531 41.8281104),0.9995210727969348
Wilson,NC,1986,2,POINT (-77.9115243 35.7241718),0.9995210727969348
Humphreys,MS,1989,1,POINT (-90.8409367 32.0804323),1.0
Milwaukee,WI,1991,180,POINT (-87.9090751 43.0386475),0.914272030651341
Harrison,TX,1993,8,POINT (-96.9988843 31.5226683),0.996647509578544
De Soto,LA,1995,1,POINT (-93.6951819 32.029052),1.0
Contra Costa,CA,1980,52,POINT (-122.054374 37.9265354),0.975574712643678
Baker,FL,1980,3,POINT (-85.6857621 30.1660352),0.9990421455938696
Palm Beach,FL,1980,63,POINT (-80.0361517 26.7056172),0.9703065134099615
Marion,IL,1980,2,POINT (-88.9331256 37.7306054),0.9995210727969348
Strafford,NH,1980,4,POINT (-71.18454 43.327176),0.9985632183908046
McCormick,SC,1980,4,POINT (-82.2938978 33.9125916),0.9985632183908046
Vernon,LA,1981,4,POINT (-92.5715365 32.3887633),0.9985632183908046
Craig,OK,1981,1,POINT (-95.6274837 34.8403759),1.0
Bradley,TN,1981,5,POINT (-82.6344746 36.5537532),0.9980842911877394
Hays,TX,1981,5,POINT (-97.8722281 30.1227118),0.9980842911877394
Hanover,VA,1981,2,POINT (-77.3702584 37.766531),0.9995210727969348
Elmore,AL,1982,3,POINT (-86.3149712 32.5387448),0.9990421455938696
Santa Cruz,CA,1982,8,POINT (-122.0294673 36.9743626),0.996647509578544
Surry,NC,1982,2,POINT (-78.7810393 35.6854572),0.9995210727969348
Washoe,NV,1982,17,POINT (-119.7706115 39.2913673),0.992337164750958
St. Clair,AL,1983,2,POINT (-86.2333022 32.5348561),0.9995210727969348
Conway,AR,1983,2,POINT (-92.4398402 35.0891932),0.9995210727969348
Rio Blanco,CO,1983,1,POINT (-107.9453508 39.7377544),1.0
Nassau,FL,1983,5,POINT (-81.816029 30.5051365),0.9980842911877394
Mason,KY,1983,2,POINT (-83.0498919 37.7206484),0.9995210727969348
Brown,OH,1983,1,POINT (-84.0674374 39.9417247),1.0
Licking,OH,1983,3,POINT (-82.4284821 39.9767185),0.9990421455938696
Burleson,TX,1983,2,POINT (-97.3208492 32.5420821),0.9995210727969348
Potter,TX,1983,23,POINT (-95.5784086 33.6775751),0.9894636015325672
Sweetwater,WY,1983,3,POINT (-108.183704 42.5421817),0.9990421455938696
Highlands,FL,1984,5,POINT (-81.6778758 30.4255162),0.9980842911877394
Terrell,GA,1984,1,POINT (-83.518789 32.8143053),1.0
Owen,IN,1984,1,POINT (-85.5419048 38.4581201),1.0
Lewis and Clark,MT,1984,3,POINT (-114.0112597 46.8366584),0.9990421455938696
Mecklenburg,NC,1984,63,POINT (-80.7842631 35.1885576),0.9703065134099615
Morgan,OH,1984,1,POINT (-80.8595561 41.6607399),1.0
Wallowa,OR,1984,1,POINT (-117.5277377 45.5700002),1.0
Scurry,TX,1984,1,POINT (-96.3808167 32.5187487),1.0
Alamosa,CO,1985,2,POINT (-105.8624658 37.4701846),0.9995210727969348
Knox,ME,1985,1,POINT (-69.2449683 44.5234342),1.0
Jackson,MO,1985,92,POINT (-89.6684487 37.3828316),0.9564176245210728
Cape May,NJ,1985,2,POINT (-74.9214226 38.933431),0.9995210727969348
Louisa,VA,1985,2,POINT (-78.0035745 38.0250438),0.9995210727969348
Independence,AR,1986,2,POINT (-91.4039148 35.675297),0.9995210727969348
Bourbon,KY,1986,1,POINT (-84.6224415 37.0520216),1.0
Cleveland,NC,1986,6,POINT (-80.6770111 35.7331953),0.9976053639846744
Smith,TX,1986,16,POINT (-97.3513926 31.055458),0.992816091954023
Webb,TX,1986,23,POINT (-97.074175 32.6326345),0.9894636015325672
Lee,FL,1987,34,POINT (-83.3004216 30.4196584),0.9841954022988506
Bryan,GA,1987,1,POINT (-81.5928901 31.8918754),1.0
Kane,IL,1987,8,POINT (-90.353727 39.190047),0.996647509578544
La Porte,IN,1987,8,POINT (-86.7225227 41.6105983),0.996647509578544
Craven,NC,1987,3,POINT (-80.3317223 35.6284724),0.9990421455938696
Bernalillo,NM,1987,72,POINT (-106.551425 35.3009305),0.9659961685823756
Washington,NY,1987,1,POINT (-73.681389 41.786667),1.0
Ector,TX,1987,13,POINT (-96.2731254 33.5772527),0.9942528735632185
Buchanan,VA,1987,1,POINT (-79.6797614 37.5273566),1.0
Walla Walla,WA,1987,4,POINT (-118.339345 46.0667277),0.9985632183908046
Tuscaloosa,AL,1988,8,POINT (-87.5675258 33.2095614),0.996647509578544
Yuma,AZ,1988,6,POINT (-114.6179954 32.723268),0.9976053639846744
Clayton,GA,1988,11,POINT (-83.4009933 34.8781479),0.9952107279693486
Missoula,MT,1988,4,POINT (-113.995267 46.8701049),0.9985632183908046
Cleveland,NC,1988,10,POINT (-80.6770111 35.7331953),0.9956896551724138
Nassau,NY,1988,28,POINT (-73.6101159 42.5159145),0.9870689655172412
Hot Spring,AR,1989,5,POINT (-92.8681111 34.2977104),0.9980842911877394
Miller,AR,1989,8,POINT (-94.2643747 36.4164649),0.996647509578544
San Joaquin,CA,1989,65,POINT (-120.1890447 36.6066162),0.9693486590038314
Hancock,IN,1989,2,POINT (-86.1794207 38.3817291),0.9995210727969348
Crawford,KS,1989,1,POINT (-98.0350521 38.5133425),1.0
Harrison,OH,1989,1,POINT (-84.8184758 39.2619989),1.0
Hockley,TX,1989,2,POINT (-95.8452052 30.0258242),0.9995210727969348
Napa,CA,1990,5,POINT (-122.2855293 38.2971367),0.9980842911877394
Clay,KY,1990,2,POINT (-87.8200159 37.4767119),0.9995210727969348
McDowell,NC,1990,5,POINT (-81.0030813 35.1010813),0.9980842911877394
Bexar,TX,1990,234,POINT (-98.4234565 29.3246757),0.8884099616858238
Bryan,GA,1991,1,POINT (-81.5928901 31.8918754),1.0
Cobb,GA,1991,19,POINT (-83.9881802 31.9591236),0.9913793103448276
Greene,NY,1991,5,POINT (-75.7699147 42.3292408),0.9980842911877394
Victoria,TX,1991,6,POINT (-97.0064246 28.7997547),0.9976053639846744
Denver,CO,1992,98,POINT (-104.984862 39.7392364),0.953544061302682
Tishomingo,MS,1992,1,POINT (-88.2317103 34.6367608),1.0
Pulaski,GA,1993,1,POINT (-81.9567837 32.3901752),1.0
Winn,LA,1993,2,POINT (-90.5142877 30.4993657),0.9995210727969348
Cumberland,NJ,1993,21,POINT (-74.9407279 39.3698374),0.9904214559386972
Yuma,AZ,1994,2,POINT (-114.6179954 32.723268),0.9995210727969348
