state,county,total_cost,cost_of_living_ranking,geometry
MO,Atchison,21313.217136,0.9001360949903423,POINT (-94.9832987 40.5257651)
MO,Jasper,20625.130266,0.9197395361811564,POINT (-94.301336 37.3361642)
AR,St. Francis,18791.716464,0.9719730857705188,POINT (-90.141365 36.4543164)
CO,Jefferson,30016.101200000005,0.6521928724447673,POINT (-105.8005286 39.3773608)
CO,La Plata,25923.34547,0.7687945687704404,POINT (-108.0631295 37.3972204)
GA,Atkinson,19274.977846,0.958205076969786,POINT (-81.8526121 31.2232805)
IL,Shelby,22289.004666,0.8723361262755129,POINT (-88.4776217 39.2791662)
KS,McPherson,21195.554,0.9034882914461516,POINT (-97.6642087 38.3708415)
MI,Oscoda,20765.99962,0.9157261997593658,POINT (-83.330801 44.4202933)
FL,Flagler,23379.98912,0.8412542229337422,POINT (-80.8971805 29.0390605)
GA,Liberty,22330.942233999995,0.8711413343330745,POINT (-83.1370993 33.421523)
IN,Newton,22231.411264,0.8739769494307141,POINT (-85.8213761 40.9672665)
IA,Tama,20471.67276,0.9241115062409252,POINT (-92.5792797 41.9625958)
CA,Yolo,28636.583134000004,0.6914950339269312,POINT (-121.8077431 38.7318481)
GA,White,20346.162622000003,0.9276872620305016,POINT (-84.7452138 34.2828722)
KY,Owen,19985.362590000004,0.9379663743306038,POINT (-84.7605024 38.5559008)
MN,Kandiyohi,20669.264662,0.9184821570998234,POINT (-94.9311166 45.1321856)
GA,Twiggs,19313.718612,0.9571013612020836,POINT (-84.5871515 33.3967829)
IA,Marion,21195.716349999995,0.9034836661309243,POINT (-91.5987335 42.0329753)
MI,Ionia,20740.818766,0.9164435966638051,POINT (-85.0711174 42.9872547)
AL,Tallapoosa,21072.975828,0.906980516179461,POINT (-85.8485691 32.5515236)
AR,Randolph,19015.567266,0.9655956264352992,POINT (-82.1219829 38.8376183)
KY,Crittenden,21332.51563,0.8995862852080392,POINT (-84.6052206 38.7828437)
MS,Benton,20690.069006,0.917889445987464,POINT (-90.259533 32.8265223)
AR,Van Buren,19565.999154,0.9499139449261652,POINT (-94.3431393 35.4424419)
GA,Gordon,19589.208492,0.9492527160720804,POINT (-83.3323848 32.8820866)
IL,Champaign,24000.560666,0.8235742782391086,POINT (-88.2430932 40.1164841)
KS,Gove,21367.273136,0.8985960516277787,POINT (-100.488749 38.957788)
MI,Kalamazoo,22533.562054,0.8653687409315125,POINT (-85.5872286 42.291707)
MI,Mackinac,20995.692534000005,0.909182299958537,POINT (-84.6198572 45.84907)
MN,Cass,20554.469442,0.9217526472695552,POINT (-94.60415 47.379398)
AL,Franklin,20449.359112,0.924747217087029,POINT (-85.8024562 32.4784706)
CT,Tolland,29396.44409400001,0.6698467649481095,POINT (-72.3677153 41.8700166)
FL,Baker,20533.773064,0.9223422824546966,POINT (-85.6857621 30.1660352)
GA,Glynn,21803.65678,0.8861635791090295,POINT (-81.527325 31.2221733)
IL,Knox,21217.24243,0.9028703929211788,POINT (-88.2656542 42.325548)
MI,Charlevoix,22331.702861999995,0.8711196642112975,POINT (-85.258348 45.317649)
CO,Logan,21795.805848,0.8863872504076188,POINT (-103.3582701 40.5785945)
IL,DeKalb,26079.17241,0.7643550940654014,POINT (-88.7501925 41.9298644)
IN,St. Joseph,22705.636766,0.8604663708323443,POINT (-86.1538016 39.7787136)
IN,Wayne,20051.863676,0.9360717732484378,POINT (-85.1386015 41.0799898)
IA,Chickasaw,21167.249738,0.904294673546665,POINT (-92.4951821 43.0338635)
KY,Calloway,22651.994566,0.8619946251253608,POINT (-84.0054805 37.7242485)
AR,Cleveland,19980.03672,0.938118107176974,POINT (-92.7096079 35.4214685)
IN,Franklin,20960.049744,0.9101977550821636,POINT (-86.0549863 39.4806056)
MI,Luce,22159.746482,0.876018663058224,POINT (-84.0299729 43.2341933)
FL,Putnam,20081.195866,0.9352361057088684,POINT (-81.9592635 29.7366333)
IL,Jersey,23063.384868,0.850274207336066,POINT (-89.9270538 41.018926)
IA,Page,20570.744260000003,0.9212889813409284,POINT (-95.1297032 40.7122149)
KY,Morgan,19664.642584,0.9471036156448271,POINT (-84.3988273 38.6028489)
MI,Cheboygan,20442.526084,0.9249418885280828,POINT (-84.47448 45.646956)
MS,Humphreys,19145.167452,0.9619033460920198,POINT (-90.8409367 32.0804323)
AL,Morgan,21637.403188000004,0.8909001067999787,POINT (-86.9166579 33.333723)
GA,Jones,20596.256712,0.9205621372835562,POINT (-81.4801073 31.6338288)
KY,Oldham,24111.713358,0.8204075628782665,POINT (-85.4210695 38.4975639)
MN,Carver,29718.372130000003,0.6606751071290897,POINT (-93.625791 44.7635738)
CO,Chaffee,22751.309044,0.8591651778364315,POINT (-89.6550896 37.1800513)
IL,Madison,22900.723168000004,0.8549084028264519,POINT (-90.1570536 38.6825502)
IN,Parke,21397.903206000003,0.8977234077769877,POINT (-85.0261711 41.0951665)
KS,Lyon,20222.256962,0.9312173066003376,POINT (-96.2150524 38.4101719)
CO,Costilla,22021.191044,0.8799660765301603,POINT (-105.530822 36.9754052)
CO,San Juan,24338.825094,0.8139372002619595,POINT (-104.7479808 37.1251922)
GA,DeKalb,24684.63611,0.8040851216787834,POINT (-84.2860343 33.9398235)
GA,Monroe,20571.410468,0.9212700012238558,POINT (-83.713229 33.7948364)
IA,Osceola,20890.70659,0.912173326046662,POINT (-93.7665629 41.0341224)
LA,Caddo Parish,20185.858772,0.9322542829011892,POINT (-93.7710439 32.4696646)
MN,Goodhue,21697.877692,0.8891772016925064,POINT (-92.6225676 44.3999369)
MN,Renville,21199.244176,0.9033831591563872,POINT (-95.2116731 44.7891264)
MN,Traverse,20526.329504,0.9225543478160226,POINT (-94.0174617 44.3485771)
AZ,Coconino,28564.688248,0.6935433031659903,POINT (-112.1982261 35.9944279)
CO,Prowers,20736.86218,0.9165563189149468,POINT (-102.7676971 38.0819524)
GA,Towns,20345.637328,0.927702227539198,POINT (-82.7536605 32.0056876)
ID,Gem,22713.535694,0.8602413321384386,POINT (-115.8679385 47.5082627)
IA,Jefferson,20189.126276000003,0.9321611924422696,POINT (-94.3741093 42.016055)
IA,Pocahontas,20663.094896,0.9186579323546862,POINT (-94.6688697 42.7368357)
KS,Sherman,20874.755238,0.9126277765012186,POINT (-95.0571872 37.2572835)
AR,Pulaski,21936.145348,0.8823890094079054,POINT (-92.3098735 34.7684249)
FL,Wakulla,21919.359328,0.8828672393672968,POINT (-84.2310065 30.2368696)
