,state,county,Unemployment,countyhelper,ranking,geometry
1922,SC,Clarendon,4.26,SCClarendon County,0.7108301223502771,POINT (-80.2277002 33.6653463)
1923,IA,Sioux,1.9,IASioux County,0.8405717487072969,POINT (-96.1602368 43.0574079)
1924,MN,Polk,3.05,MNPolk County,0.7773502015718272,POINT (-96.4193484 47.6554613)
1925,KY,Meade,4.63,KYMeade County,0.6904892826198812,POINT (-86.1902231 37.9313371)
1926,IN,Randolph,3.08,INRandolph County,0.7757009453591295,POINT (-85.011566 40.1560108)
1927,ND,Benson,2.98,NDBenson County,0.781198466068122,POINT (-99.403103 48.0191362)
1928,WV,Upshur,5.06,WVUpshur County,0.6668499304640897,POINT (-80.2461453 38.8957981)
1929,SD,Kingsbury,1.93,SDKingsbury County,0.838922492494599,POINT (-97.4882433 44.3631469)
1930,GA,Floyd,3.23,GAFloyd County,0.7674546511885172,POINT (-85.2229248 34.2421984)
1931,OR,Harney,5.11,ORHarney County,0.6641011570024702,POINT (-119.0240263 43.055195)
1932,WA,Mason,6.76,WAMason County,0.5733919735542292,POINT (-123.1822758 47.3429635)
1933,KS,Dickinson,2.87,KSDickinson County,0.7872457519551371,POINT (-97.1893341 38.8790615)
1934,IL,Douglas,3.39,ILDouglas County,0.7586586049470058,POINT (-88.2170516 39.7628415)
1935,SC,Darlington,3.68,SCDarlington County,0.7427157817838039,POINT (-79.9438572 34.3609331)
1936,MO,Washington,3.3,MOWashington County,0.7636063866922225,POINT (-90.879099 37.9559513)
1937,KS,McPherson,1.96,KSMcpherson County,0.8372732297283396,POINT (-97.6575171 38.3659015)
1938,PA,Venango,5.29,PAVenango County,0.6542056197262834,POINT (-79.7709417 41.3996112)
1939,MO,Macon,2.59,MOMacon County,0.8026388230474397,POINT (-92.5675118 39.8416253)
1940,UT,Duchesne,3.29,UTDuchesne County,0.7641561387631217,POINT (-110.4715153 40.2960433)
1941,AL,Bibb,2.57,ALBibb County,0.8037383271892382,POINT (-87.1227088 32.971079)
1942,IL,Jersey,3.62,ILJersey County,0.7460143073163228,POINT (-90.3303344 39.0848464)
1943,OH,Williams,3.53,OHWilliams County,0.7509620759544162,POINT (-84.5923785 41.5018224)
1944,VA,Rockingham,2.62,VARockingham County,0.800989566834742,POINT (-78.8949442 38.5080288)
1945,MS,Lamar,3.15,MSLamar County,0.7718526677557114,POINT (-89.5152337 31.2109862)
1946,MD,St. Mary's,3.17,MDSt. Mary'S County,0.7707531636139128,POINT (-76.5389973 38.206621)
1947,AL,Dale,2.69,ALDale County,0.7971412892313239,POINT (-85.623763 31.3940969)
1948,GA,Paulding,2.68,GAPaulding County,0.7976910413022231,POINT (-84.8569161 33.8908526)
1949,TX,Hockley,3.79,TXHockley County,0.7366685090039121,POINT (-102.3110415 33.5714311)
1950,NY,Chemung,3.79,NYChemung County,0.7366685090039121,POINT (-76.7725493 42.1384667)
1951,CO,Elbert,2.48,COElbert County,0.8086860958273316,POINT (-104.0868973 39.3138822)
1952,SD,Brookings,2.12,SDBrookings County,0.8284771965939515,POINT (-96.7925213 44.3763598)
1953,IA,Black Hawk,3.0,IABlack Hawk County,0.7800989619263234,POINT (-92.3030235 42.4607526)
1954,MI,Isabella,5.12,MIIsabella County,0.6635514180386941,POINT (-84.8468516 43.6306545)
1955,WY,Park,3.71,WYPark County,0.7410665255711062,POINT (-109.5678484 44.6076072)
1956,OH,Defiance,4.11,OHDefiance County,0.7190764165208892,POINT (-84.5084835 41.3203058)
1957,NC,Stanly,3.41,NCStanly County,0.7575591008052073,POINT (-80.2391366 35.3235477)
1958,NE,Colfax,2.01,NEColfax County,0.8345244693738434,POINT (-97.0828487 41.5738643)
1959,VA,Carroll,3.66,VACarroll County,0.7438152859256024,POINT (-80.7439791 36.7365816)
1960,OH,Gallia,4.93,OHGallia County,0.6739967204929034,POINT (-82.3556216 38.7952465)
1961,MT,Pondera,2.65,MTPondera County,0.7993402975149209,POINT (-112.1206742 48.2443094)
1962,MN,Freeborn,2.76,MNFreeborn County,0.793293024735029,POINT (-93.3501681 43.6763617)
1963,FL,Bradford,3.23,FLBradford County,0.7674546511885172,POINT (-82.1608653 29.9715087)
1964,WA,Clallam,6.4,WAClallam County,0.5931830743208492,POINT (-123.7373472 47.9998383)
1965,MO,Pemiscot,3.95,MOPemiscot County,0.7278724627624007,POINT (-89.8351486 36.2104949)
1966,FL,Wakulla,2.58,FLWakulla County,0.803188575118339,POINT (-84.3543512 30.1480038)
1967,IA,Jasper,3.1,IAJasper County,0.7746014412173309,POINT (-93.0647786 41.6791308)
1968,AL,Lawrence,2.47,ALLawrence County,0.8092358478982309,POINT (-87.3017331 34.4776367)
1969,VA,Bedford,2.95,VABedford County,0.7828477222808198,POINT (-79.5399003 37.3123905)
1970,CA,Trinity,4.81,CATrinity County,0.6805937453436945,POINT (-123.171268 40.6053256)
1971,AL,Franklin,2.4,ALFranklin County,0.8130841123945256,POINT (-87.8339064 34.440962)
1972,MN,Pine,4.65,MNPine County,0.6893897784780827,POINT (-92.7542126 46.0820957)
1973,VA,Stafford,2.96,VAStafford County,0.7822979702099205,POINT (-77.4579783 38.4167265)
1974,AR,Lonoke,2.92,ARLonoke County,0.7844969784935176,POINT (-91.862792 34.7414404)
1975,NY,Essex,3.71,NYEssex County,0.7410665255711062,POINT (-73.7542043 44.0638879)
1976,PA,Susquehanna,4.42,PASusquehanna County,0.702034089215889,POINT (-75.8170767 41.8218729)
1977,IL,Marshall,4.86,ILMarshall County,0.6778449718820749,POINT (-89.2998456 41.0324537)
1978,MT,Teton,2.74,MTTeton County,0.7943925288768275,POINT (-112.2566035 47.8455676)
1979,KY,Marshall,4.24,KYMarshall County,0.7119296527063221,POINT (-88.3264641 36.8624306)
1980,NC,Nash,5.24,NCNash County,0.6569543931879029,POINT (-77.9755309 35.992983)
1981,WV,Marshall,5.27,WVMarshall County,0.6553051238680819,POINT (-80.6616946 39.854861)
1982,MD,Garrett,3.57,MDGarrett County,0.7487630676708191,POINT (-79.2496976 39.544087)
1983,LA,Natchitoches Parish,4.09,LANatchitoches Parish,0.7201759206626878,POINT (-93.1427138 31.6464192)
1984,SD,Codington,2.04,SDCodington County,0.8328752131611455,POINT (-97.1976513 44.9695646)
1985,IA,Dubuque,2.92,IADubuque County,0.7844969784935176,POINT (-90.8742047 42.4692988)
1986,TN,Cumberland,4.45,TNCumberland County,0.7003848461103144,POINT (-84.9748195 35.953805)
1987,LA,Lincoln Parish,3.63,LALincoln Parish,0.7454645421383003,POINT (-92.6792848 32.598162)
1988,MS,Panola,4.9,MSPanola County,0.6756459635984778,POINT (-89.9601925 34.3793392)
1989,ID,Nez Perce,2.64,IDNez Perce County,0.7998900495858201,POINT (-116.8072307 46.3959861)
1990,CA,Mono,3.88,CAMono County,0.7317207272586955,POINT (-118.9398758 37.9533927)
1991,OK,Cherokee,3.65,OKCherokee County,0.7443650379965018,POINT (-94.9950063 35.9158661)
